Código;Descripción corta;UdM base;Tipo;Perfil logístico
1BBUCANERA%BL40;CALZADO DAMA;UN;CALZADO;
1F0VIKITA%JY35;FLAT INYECTADA;UN;CALZADO;
1F0VIKITA%JY36;FLAT INYECTADA;UN;CALZADO;
1F0VIKITA%JY37;FLAT INYECTADA;UN;CALZADO;
1F0VIKITA%JY38;FLAT INYECTADA;UN;CALZADO;
1F0VSAGIA%VD40;OJOTA ACOLCHADA;UN;CALZADO;
1F0VSAGIA%WW35;OJOTA ACOLCHADA;UN;CALZADO;
1F0VSAGIA%WW36;OJOTA ACOLCHADA;UN;CALZADO;
1F0VSAGIA%WW37;OJOTA ACOLCHADA;UN;CALZADO;
1F0VSAGIA%WW38;OJOTA ACOLCHADA;UN;CALZADO;
1F0VSAGIA%WW39;OJOTA ACOLCHADA;UN;CALZADO;
1F0VSAGIA%WW40;OJOTA ACOLCHADA;UN;CALZADO;
1F1IBLANZE%NG35;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%NG36;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%NG37;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%NG38;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%NG39;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%NG40;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OP35;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OP36;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OP37;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OP38;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OP39;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OP40;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OV35;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OV36;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OV37;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OV38;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OV39;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1IBLANZE%OV40;ZAPATILLA CON LENTEJUELA;UN;CALZADO;
1F1ICDRUNA%MB35;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%MB36;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%MB37;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%MB38;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%MB39;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%MB40;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%NG35;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%NG36;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%NG37;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%NG38;BOTA TEXANA;UN;CALZADO;
1F1ICDRUNA%NG39;BOTA TEXANA;UN;CALZADO;
